Status,Leetcode,Name,Difficulty,Tag,Page,Date
In progress,12,"Integer to Roman ",Medium,"Hash Table, Math, String",https://leetcode.com/problems/integer-to-roman/description/?envType=study-plan-v2&envId=top-interview-150,"June 19, 2023"
In progress,13,Roman to Integer,Easy,"Hash Table, Math, String",https://leetcode.com/problems/roman-to-integer/description/?envType=study-plan-v2&envId=top-interview-150,"June 19, 2023"
needreview😭,167,Two Sum II- Input Array Is sorted,Medium,"Array, TwoPointers",https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/description/?envType=study-plan-v2&envId=top-interview-150,"June 15, 2023"
Done,135,Candy,Hard,"Array, Greedy",https://leetcode.com/problems/candy/description/?envType=study-plan-v2&envId=top-interview-150,"June 15, 2023"
needreview😭,125,Valid Palindrome,Easy,"String, TwoPointers",https://leetcode.com/problems/valid-palindrome/?envType=study-plan-v2&envId=top-interview-150,"June 15, 2023"
Done,134,Gas Station,Medium,"Array, Greedy",https://leetcode.com/problems/gas-station/?envType=study-plan-v2&envId=top-interview-150,"June 14, 2023"
needreview😭,238,Product of Array Except Self,Medium,"Array, Prefix Sum",https://leetcode.com/problems/product-of-array-except-self/?envType=study-plan-v2&envId=top-interview-150,"June 14, 2023"
needreview😭,380,Insert Delete GetRandom O(1),Medium,"Array, Hash Table, Linked List",https://leetcode.com/problems/insert-delete-getrandom-o1/?envType=study-plan-v2&envId=top-interview-150,"June 14, 2023"
needreview😭,274,H-Index,Medium,"Array, Sorting",https://leetcode.com/problems/h-index/description/?envType=study-plan-v2&envId=top-interview-150,"June 14, 2023"
Done,45,Jump Game II,Medium,"Array, Greedy",https://leetcode.com/problems/jump-game-ii/description/?envType=study-plan-v2&envId=top-interview-150,"June 12, 2023"
Done,55,Jump Game,Medium,"Array, DP, Greedy",https://leetcode.com/problems/jump-game/description/?envType=study-plan-v2&envId=top-interview-150,"June 12, 2023"
needreview😭,121,Best time to buy and sell stock,Easy,"Array, DP, Greedy, TwoPointers",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/?envType=study-plan-v2&envId=top-interview-150,"June 8, 2023"
needreview😭,121,Best time to buy and sell stock II,Medium,"Array, DP, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/?envType=study-plan-v2&envId=top-interview-150,"June 8, 2023"
Done,189,Rotate Array,Medium,"Array, TwoPointers",https://leetcode.com/problems/rotate-array/description/?envType=study-plan-v2&envId=top-interview-150,"June 8, 2023"
Done,80,Remove Duplicates from Sorted Array I,Medium,"Array, TwoPointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/?envType=study-plan-v2&envId=top-interview-150,"June 7, 2023"
needreview😭,169,Majority Element,Easy,"Array, Hash Table",https://leetcode.com/problems/majority-element/description/?envType=study-plan-v2&envId=top-interview-150,"June 7, 2023"
Done,26,Remove Duplicates from sorted array,Easy,"Array, TwoPointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array/description/?envType=study-plan-v2&envId=top-interview-150,"June 6, 2023"
Done,27,Remove Element,Easy,"Array, TwoPointers",https://leetcode.com/problems/remove-element/?envType=study-plan-v2&envId=top-interview-150,"June 5, 2023"
Done,88,Merge Sorted Array,Easy,"Array, Sorting, TwoPointers",https://leetcode.com/problems/merge-sorted-array/description/?envType=study-plan-v2&envId=top-interview-150,"June 5, 2023"
Not started,,,Not started,,,
Not started,,,Not started,,,
